Game Title,Critic Score,Sales,North American Sales,Japanese Sales,EU Sales,Other Sales,Release Year,Publisher Freq,Developer Freq,Console Freq,Genre Freq
Tony Hawk's Pro Skater,9.6,5.0200000000000005,3.42,0.02,1.38,0.2,1999,1044,52,1130,2596
Warzone 2100,7.101890450799806,5.01,2.79,0.0,1.89,0.33,1999,209,1,1130,820
Guitar Hero III: Legends of Rock,8.2,4.99,3.49,0.01,0.01,1.48,2007,8,15,2125,2003
Uncharted: Drake's Fortune,8.7,4.97,2.32,0.12,1.73,0.8,2007,568,7,1348,2839
Fallout 3,9.0,4.96,3.41,0.09,0.99,0.46,2008,113,11,1302,1490
Madden NFL 06,9.1,4.91,3.98,0.01,0.26,0.66,2005,540,193,2125,2596
Call of Duty: Black Ops IIII,7.101890450799806,4.8500000000000005,3.27,0.0,1.12,0.46,2018,1044,56,524,1485
Assassin's Creed,8.2,4.83,1.91,0.09,2.01,0.82,2007,1012,172,1348,2839
Crash Bandicoot N. Sane Trilogy,7.101890450799806,4.83,1.09,0.07,2.92,0.74,2017,1044,91,908,951
Call of Duty: Infinite Warfare,7.101890450799806,4.79,2.91,0.0,1.44,0.44,2016,1044,28,524,1485
Crash Team Racing,9.2,4.79,2.57,0.44,1.57,0.21,1999,568,7,1130,1431
LEGO Star Wars: The Complete Saga,7.8,4.7700000000000005,2.83,0.0,1.49,0.45,2007,138,152,2395,2839
Batman: Arkham City,9.5,4.750000000000001,2.99,0.04,1.28,0.44,2011,126,12,1302,2839
Driver 2,7.0,4.73,2.36,0.02,2.1,0.25,2000,335,12,1130,2839
The Simpsons: Hit & Run,7.7,4.71,1.73,0.0,2.19,0.79,2003,74,47,2125,1431
Tony Hawk's Pro Skater 2,9.3,4.68,3.05,0.02,1.41,0.2,2000,1044,52,1130,2596
The Lord of the Rings: The Two Towers,8.3,4.67,1.94,0.08,1.95,0.7,2002,843,22,2125,2839
Tomb Raider,8.9,4.63,2.29,0.13,1.97,0.24,1996,209,24,1130,2839
Forza Motorsport 4,9.1,4.61,2.08,0.06,1.98,0.49,2011,41,2,1302,1431
Guitar Hero III: Legends of Rock,8.6,4.6000000000000005,3.04,0.0,1.12,0.44,2007,8,91,1357,2003
FIFA 15,6.9,4.56,0.59,0.04,3.25,0.68,2014,540,292,1348,2596
Mario & Sonic at the Olympic Winter Games,6.8,4.540000000000001,1.87,0.22,1.97,0.48,2009,640,154,1357,2596
Overwatch,8.8,4.540000000000001,1.84,0.17,1.8,0.73,2016,12,10,908,1485
Guitar Hero III: Legends of Rock,8.7,4.53,3.19,0.01,0.91,0.42,2007,8,5,1302,2003
Star Wars Battlefront II (2017),7.101890450799806,4.539999999999999,1.7,0.12,1.99,0.73,2017,843,25,908,1485
Madden NFL 2005,9.5,4.53,4.18,0.01,0.26,0.08,2004,540,193,2125,2596
Spider-Man: The Movie,8.2,4.48,2.71,0.03,1.51,0.23,2002,1044,56,2125,2839
The Elder Scrolls IV: Oblivion,9.2,4.47,2.89,0.13,1.03,0.41,2009,53,31,1302,1490
Tony Hawk's Pro Skater 3,9.1,4.42,2.66,0.01,1.29,0.46,2001,1044,52,2125,2596
Winning Eleven: Pro Evolution Soccer 2007,8.8,4.4,0.1,1.05,2.39,0.86,2007,769,43,2125,2596
Tom Clancy's The Division,7.101890450799806,4.38,1.49,0.16,2.04,0.69,2016,1012,4,908,1485
Need for Speed: Most Wanted,8.6,4.37,2.03,0.08,1.79,0.47,2005,843,292,2125,1431
Michael Jackson: The Experience,5.6,4.37,2.64,0.01,1.33,0.39,2010,1012,30,1357,2003
Tom Clancy's Rainbow Six: Siege,7.101890450799806,4.36,1.29,0.36,2.06,0.64,2015,1012,172,908,1485
Call of Duty: Advanced Warfare,9.1,4.35,2.81,0.0,1.13,0.41,2014,1044,19,1302,1485
Watch Dogs,7.101890450799806,4.32,1.4,0.11,2.13,0.68,2014,1012,172,908,264
Asteroids,7.101890450799806,4.31,4.0,0.0,0.26,0.05,1981,335,72,126,1485
Batman: Arkham Asylum,9.0,4.29,2.26,0.07,1.33,0.63,2009,209,12,1348,2839
Call of Duty: Advanced Warfare,9.1,4.2700000000000005,1.59,0.2,1.81,0.67,2014,1044,19,1348,1485
Namco Museum,7.101890450799806,4.24,3.0,0.05,1.11,0.07,2001,175,23,899,2003
Assassin's Creed: Revelations,8.8,4.23,1.41,0.1,2.03,0.69,2011,1012,172,1348,2839
Assassin's Creed: Revelations,7.9,4.23,2.28,0.04,1.47,0.44,2011,1012,172,1302,2839
FIFA Soccer 06,8.4,4.21,0.78,0.04,2.55,0.84,2005,540,292,2125,2596
Street Fighter IV,9.3,4.199999999999999,2.04,0.59,1.05,0.52,2009,437,4,1348,871
FIFA Soccer 12,9.2,4.18,0.85,0.02,2.79,0.52,2011,540,292,1302,2596
Call of Duty: Ghosts,7.5,4.17,1.79,0.05,1.64,0.69,2013,1044,28,908,1485
Teenage Mutant Ninja Turtles,5.9,4.17,3.38,0.31,0.44,0.04,1989,2,409,48,951
Frogger,7.101890450799806,4.170000000000001,3.79,0.0,0.27,0.11,1997,20,1,1130,2839
FIFA 14,7.101890450799806,4.16,0.94,0.01,2.92,0.29,2013,540,292,1302,2596
Star Wars Battlefront (2015),6.9,4.15,2.49,0.02,1.26,0.38,2015,843,25,524,1485
Madden NFL 2003,9.4,4.14,3.36,0.01,0.21,0.56,2002,540,193,2125,2596
Assassin's Creed: Unity,7.101890450799806,4.15,1.25,0.09,2.16,0.65,2014,1012,172,908,2839
Destiny 2,7.101890450799806,4.15,1.92,0.1,1.44,0.69,2017,1044,16,908,1485
FIFA 07 Soccer,8.4,4.11,0.71,0.03,2.48,0.89,2006,540,9,2125,2596
Batman: Arkham Knight,8.1,4.11,1.65,0.11,1.68,0.66,2015,126,12,908,2839
The Sims 4,7.0,4.1,1.2,0.0,2.6,0.3,2014,843,71,1560,1121
Fallout: New Vegas,8.2,4.08,2.67,0.04,1.03,0.34,2010,113,23,1302,1490
Carnival Games,4.2,4.06,2.12,0.05,1.47,0.42,2007,47,14,1357,2003
Far Cry 4,8.4,4.0600000000000005,1.18,0.11,2.14,0.63,2014,1012,172,908,1485
Assassin's Creed Origins,7.101890450799806,4.07,1.22,0.11,2.11,0.63,2017,1012,172,908,2839
World Soccer Winning Eleven 9,8.9,4.06,0.12,0.9,2.26,0.77,2006,769,43,2125,2596
Forza Motorsport 2,9.1,4.06,2.35,0.03,1.27,0.41,2007,92,5,1302,1431
Namco Museum Vol.3,7.101890450799806,4.05,2.28,0.16,1.55,0.06,1997,175,114,1130,2003
Tekken Tag Tournament,8.7,4.05,1.68,0.51,1.51,0.35,2000,175,114,2125,871
Fallout 3,8.8,4.01,2.18,0.07,1.15,0.61,2008,113,11,1348,1490
The Elder Scrolls V: Skyrim,9.2,3.99,1.18,0.0,2.25,0.56,2011,113,11,1560,1490
NBA 2K16,8.7,3.98,2.56,0.05,0.66,0.71,2015,183,134,908,2596
Namco Museum: 50th Anniversary,7.101890450799806,3.98,2.08,0.0,1.35,0.54,2005,175,41,2125,2003
Far Cry 5,7.9,3.95,1.44,0.15,1.73,0.62,2018,1012,196,908,2839
Battlefield 4,8.3,3.95,1.4,0.19,1.74,0.62,2013,843,25,908,1485
Assassin's Creed IV: Black Flag,8.7,3.95,1.34,0.13,1.86,0.62,2013,1012,172,1348,264
Tony Hawk's Underground,8.7,3.9,2.29,0.01,1.17,0.42,2003,1044,52,2125,2596
Just Dance 2014,7.4,3.9,1.91,0.0,1.66,0.33,2013,1012,67,1357,147
Sports Champions,7.6,3.88,2.15,0.1,1.13,0.5,2010,568,31,1348,2596
World Soccer Winning Eleven 8 International,9.3,3.85,0.16,1.12,1.89,0.68,2005,769,43,2125,2596
Namco Museum Vol.1,7.101890450799806,3.84,2.12,0.22,1.44,0.06,1996,175,114,1130,2003
LEGO Indiana Jones: The Original Adventures,7.5,3.77,2.4,0.0,1.01,0.36,2008,138,152,1302,1893
The Sims: Unleashed,7.3,3.76,2.03,0.0,1.56,0.17,2002,843,71,1560,1121
Ratchet & Clank: Size Matters,8.5,3.76,1.4,0.1,1.4,0.86,2007,568,9,1340,951
FIFA 17,8.8,3.71,1.04,0.0,2.4,0.27,2016,843,292,524,2596
FIFA Soccer 2005,8.4,3.7,0.58,0.04,2.48,0.59,2004,540,292,2125,2596
Tony Hawk's Pro Skater 4,9.6,3.67,2.13,0.01,1.18,0.35,2002,1044,52,2125,2596
MySims,6.7,3.66,1.58,0.08,1.6,0.4,2007,843,58,2395,1121
Midnight Club 3: DUB Edition,7.2,3.66,1.65,0.0,1.22,0.79,2005,93,10,1340,1431
SOCOM: U.S. Navy SEALs,8.0,3.65,2.53,0.06,0.81,0.24,2002,568,9,2125,1485
Battlefield 4,8.7,3.64,1.31,0.27,1.5,0.55,2013,843,25,1348,1485
Jak and Daxter: The Precursor Legacy,9.0,3.65,2.08,0.15,1.09,0.33,2001,568,7,2125,951
Pro Evolution Soccer 2008,8.2,3.63,0.05,0.64,0.0,2.93,2008,769,409,2125,2596
FIFA Soccer 10,9.0,3.63,0.6,0.05,2.46,0.52,2009,540,292,1348,2596
Guitar Hero: World Tour,8.4,3.62,2.32,0.0,0.96,0.34,2008,1044,91,1357,2003
The Simpsons: Road Rage,6.1,3.61,2.02,0.0,1.17,0.42,2001,843,47,2125,1431
Star Wars Battlefront,8.1,3.62,1.93,0.03,1.22,0.44,2004,138,33,2125,1485
Doom II,9.3,3.61,2.05,0.0,1.4,0.16,1994,26,13,1560,1485
Assassin's Creed Syndicate,8.6,3.6,0.9,0.08,2.06,0.55,2015,1012,14,908,2839
Star Wars Battlefront II,8.5,3.6,2.18,0.03,1.02,0.37,2005,138,33,2125,1485
Assassin's Creed: Unity,7.101890450799806,3.58,2.34,0.0,0.9,0.34,2014,1012,172,524,2839
WWF SmackDown!,7.101890450799806,3.58,2.01,0.06,1.35,0.16,2000,726,30,1130,871
Cooking Mama 2: Dinner With Friends,6.9,3.5800000000000005,1.6,0.1,1.49,0.39,2007,227,5,2395,1121
The Getaway,7.7,3.54,1.23,0.05,1.77,0.49,2003,568,2,2125,2839
Tomb Raider III: Adventures of Lara Croft,8.2,3.54,1.66,0.12,1.58,0.18,1998,209,24,1130,1893
Grand Theft Auto: Liberty City Stories,8.3,3.54,1.56,0.07,1.4,0.5,2006,93,10,2125,2839
Battlefield 4,8.7,3.5500000000000003,2.16,0.02,1.05,0.32,2013,843,25,1302,1485
Batman: Arkham Asylum,9.1,3.54,2.24,0.02,0.95,0.33,2009,209,12,1302,2839
Resident Evil 5,8.6,3.53,2.13,0.12,0.93,0.34,2009,437,294,1302,2839
Assassin's Creed: Brotherhood,9.1,3.54,2.87,0.03,0.39,0.25,2010,1012,172,1302,2839
LEGO Star Wars: The Video Game,7.9,3.54,1.98,0.01,1.14,0.41,2005,209,152,2125,2839
James Bond 007: Agent Under Fire,7.101890450799806,3.54,1.9,0.1,1.13,0.41,2001,843,58,2125,1485
Rugrats in Paris: The Movie,7.101890450799806,3.52,1.96,0.0,1.33,0.23,2000,726,69,1130,2839
FIFA Soccer 11,8.7,3.52,0.71,0.02,2.39,0.4,2010,540,292,1302,2596
NBA 2K17,9.0,3.5299999999999994,2.28,0.03,0.59,0.63,2016,183,134,908,2596
Mortal Kombat X,7.101890450799806,3.49,1.94,0.0,0.94,0.61,2015,166,15,908,871
FIFA Soccer 2004,8.0,3.5,0.59,0.04,2.36,0.51,2003,540,292,2125,2596
Borderlands,8.3,3.48,2.43,0.03,0.72,0.3,2009,121,39,1302,1485
Battlefield: Bad Company 2,9.0,3.49,2.11,0.04,1.01,0.33,2010,843,10,1302,1485
Mario & Sonic at the Olympic Winter Games,7.6,3.48,1.21,0.27,1.63,0.37,2009,640,154,2395,2596
Guitar Hero: On Tour,7.1,3.47,2.1,0.01,1.01,0.35,2008,1044,91,2395,2003
Tekken 4,7.9,3.4400000000000004,1.55,0.33,1.27,0.29,2002,175,114,2125,871
LEGO Batman: The Videogame,7.5,3.4499999999999997,2.07,0.0,1.04,0.34,2008,126,152,1302,1893
Halo: The Master Chief Collection,8.8,3.44,2.06,0.03,1.04,0.31,2014,41,3,524,1485
LittleBigPlanet 2,9.1,3.43,1.83,0.06,1.07,0.47,2011,568,5,1348,951
FIFA 14,7.101890450799806,3.43,0.62,0.12,2.18,0.51,2013,540,292,908,2596
Grand Theft Auto 2,6.9,3.42,1.13,0.0,2.07,0.22,1999,93,8,1130,2839
Destiny,8.3,3.41,2.17,0.0,0.92,0.32,2014,1044,16,524,1485
Spider-Man 2,7.9,3.41,1.75,0.02,1.2,0.43,2004,1044,56,2125,2839
FIFA Soccer 2003,7.101890450799806,3.4,0.46,0.05,2.28,0.61,2002,540,292,2125,2596
Crash Bash,6.8,3.39,1.56,0.19,1.47,0.17,2000,568,63,1130,2003
Gears of War 4,7.101890450799806,3.3899999999999997,2.17,0.0,0.9,0.32,2016,41,1,524,1485
The Elder Scrolls V: Skyrim Special Edition,8.3,3.3600000000000003,1.24,0.08,1.5,0.54,2016,113,31,908,1490
Watch Dogs 2,7.101890450799806,3.36,0.98,0.12,1.74,0.52,2016,1012,196,908,2839
WWF War Zone,7.101890450799806,3.3600000000000003,2.47,0.0,0.76,0.13,1998,195,21,1130,871
Assassin's Creed IV: Black Flag,8.5,3.3499999999999996,1.9,0.01,1.14,0.3,2013,1012,172,1302,264
NBA 2K18,8.1,3.34,2.13,0.04,0.57,0.59,2017,183,134,908,2596
James Bond 007: Nightfire,7.101890450799806,3.33,1.45,0.12,1.29,0.46,2002,843,63,2125,1485
Star Wars Episode III: Revenge of the Sith,7.101890450799806,3.32,1.47,0.03,1.39,0.43,2005,138,4,2125,2839
Max Payne,8.1,3.31,1.99,0.05,1.05,0.22,2001,93,8,2125,1485
Madden NFL 16,8.2,3.31,2.39,0.0,0.31,0.61,2015,540,193,908,2596
The Lord of the Rings: The Return of the King,8.4,3.29,1.5,0.05,1.28,0.46,2003,843,3,2125,2839
Madden NFL 17,8.5,3.28,2.3,0.0,0.37,0.6,2016,540,193,908,2596
Gran Turismo (PSP),7.101890450799806,3.27,0.51,0.31,1.59,0.86,2009,568,5,1340,1431
Far Cry 3,7.101890450799806,3.27,0.88,0.1,1.79,0.5,2012,1012,172,1348,1485
True Crime: Streets of LA,7.101890450799806,3.27,1.89,0.02,1.05,0.31,2003,1044,7,2125,2839
FIFA 16,8.5,3.26,0.92,0.0,2.1,0.24,2015,540,292,524,2596
L.A. Noire,9.1,3.21,1.29,0.12,1.31,0.49,2011,93,5,1348,1893
007: Tomorrow Never Dies,6.2,3.21,1.72,0.0,1.33,0.16,1999,843,16,1130,1485
WWF SmackDown! 2: Know Your Role,8.7,3.2,1.76,0.07,1.21,0.16,2000,726,30,1130,871
Assassin's Creed IV: Black Flag,8.3,3.1900000000000004,1.07,0.06,1.55,0.51,2013,1012,172,908,264
Enter the Matrix,7.101890450799806,3.18,1.78,0.09,1.12,0.19,2003,335,19,2125,2839
Assassin's Creed Odyssey,9.5,3.18,1.18,0.09,1.4,0.51,2018,1012,14,908,264
Fallout: New Vegas,8.2,3.17,1.54,0.1,1.04,0.49,2010,113,23,1348,1490
FIFA Soccer 08,7.101890450799806,3.14,0.68,0.0,0.0,2.46,2007,540,292,2125,2596
Club Penguin: Elite Penguin Force,7.0,3.14,1.87,0.0,0.97,0.3,2008,199,21,2395,1893
FIFA 18,8.0,3.14,0.98,0.0,1.92,0.23,2017,540,19,524,2596
Spider-Man,7.101890450799806,3.13,1.7,0.02,1.25,0.16,2000,1044,52,1130,2839
The Elder Scrolls IV: Oblivion,9.3,3.13,1.69,0.14,0.86,0.44,2007,113,10,1348,1490
Resident Evil 6,7.101890450799806,3.12,0.88,0.88,0.97,0.39,2012,437,294,1348,2839
Need for Speed III: Hot Pursuit,7.101890450799806,3.13,2.14,0.0,0.86,0.13,1998,843,292,1130,1431
Tom Clancy's Ghost Recon Wildlands,7.0,3.12,1.07,0.22,1.35,0.47,2017,1012,67,908,1485
Titanfall,7.101890450799806,3.1100000000000003,1.88,0.04,0.91,0.28,2014,843,6,524,1485
NBA 2K13,8.6,3.12,2.62,0.01,0.21,0.28,2012,183,134,1302,2596
Mass Effect 2,9.5,3.1,1.99,0.03,0.81,0.27,2010,843,10,1302,1490
LEGO Batman: The Videogame,7.3,3.08,1.8,0.0,0.98,0.29,2008,126,152,1357,1893
Madden NFL 2002,7.101890450799806,3.09,2.5,0.01,0.16,0.42,2001,540,45,2125,2596
Saints Row 2,7.9,3.0700000000000003,1.98,0.02,0.79,0.28,2008,726,30,1302,2839
Call of Duty: Ghosts,7.5,3.07,1.92,0.0,0.86,0.28,2013,1044,28,524,1485
The Sims: Vacation,7.101890450799806,3.07,1.72,0.0,1.21,0.14,2002,843,71,1560,1121
Borderlands 2,7.101890450799806,3.0700000000000003,1.89,0.04,0.88,0.26,2013,121,39,1302,1485
LEGO Batman: The Videogame,7.8,3.06,1.75,0.0,1.02,0.29,2008,126,152,2395,1893
Kung Fu Panda,7.5,3.05,1.91,0.0,0.84,0.29,2008,1044,7,1302,951
Metal Gear Solid V: The Phantom Pain,7.101890450799806,3.04,0.97,0.5,1.15,0.42,2015,107,28,908,2839
Mass Effect 3,9.5,3.05,1.94,0.03,0.84,0.24,2012,843,6,1302,1490
Rayman,7.0,3.03,1.54,0.0,1.33,0.16,1995,1012,30,1130,951
Tom Clancy's Splinter Cell,9.3,3.02,1.85,0.0,1.04,0.13,2002,1012,196,836,2839
WWE SmackDown! vs. Raw 2006,8.4,3.0,1.57,0.0,1.02,0.41,2005,726,30,2125,871
The Sims: Livin Large,7.101890450799806,2.99,1.67,0.0,1.18,0.13,2000,843,71,1560,2003
World Soccer Winning Eleven 6 International,7.101890450799806,2.99,0.12,1.16,1.26,0.45,2003,769,43,2125,2596
Far Cry 3,7.101890450799806,2.98,1.38,0.02,1.33,0.25,2012,1012,172,1302,1485
Hitman 2: Silent Assassin,7.101890450799806,2.96,1.36,0.04,1.15,0.41,2002,209,31,2125,2839
Battlefield: Bad Company 2,8.9,2.9600000000000004,1.33,0.08,1.11,0.44,2010,843,10,1348,1485
Street Fighter IV,9.3,2.95,1.83,0.15,0.7,0.26,2009,437,4,1302,871
WWE SmackDown! vs. RAW 2006,7.101890450799806,2.94,1.45,0.04,1.11,0.33,2005,726,30,2125,871
Pac-Man Collection,7.101890450799806,2.94,2.07,0.05,0.77,0.05,2001,175,23,899,723
Madden NFL 13,8.0,2.93,2.53,0.0,0.16,0.24,2012,540,193,1302,2596
Doom (2016),7.101890450799806,2.92,0.93,0.04,1.48,0.46,2016,113,13,908,1485
FIFA 15,6.9,2.91,0.8,0.0,1.9,0.21,2014,540,292,1302,2596
Mass Effect,9.2,2.9200000000000004,1.83,0.03,0.79,0.27,2007,92,10,1302,1490
Mortal Kombat (2011),8.5,2.9,1.98,0.0,0.54,0.38,2011,166,15,1348,871
